clientid,EventProcessedUtcTime,contouren,afwijking,voorgrond,beweging,helderheid,richting,leftoutcounter,rightoutcounter,objecten,leftcounter,rightcounter,upcounter,downcounter,undeterminedcounter
CAM??,2018-03-31T02:14:16.9481772Z,125,256,64,10,7,heading: <-,1,0, 3,1,0,0,0,2
CAM10,2018-03-31T02:14:14.6669250Z,129,88,8,0,0,UNDETERMINED,0,0, 0,0,0,0,0,0
CAM02,2018-03-31T02:14:14.0887889Z,7,164,100,0,0,UNDETERMINED,0,0, 0,0,0,0,0,0
CAM10,2018-03-31T02:14:14.0887889Z,134,87,8,0,0,UNDETERMINED,0,0, 0,0,0,0,0,0
CAM07,2018-03-31T02:13:54.7585403Z,64,309,15,0,3,UNDETERMINED,0,0, 0,0,0,0,0,0
CAM??,2018-03-31T02:14:14.6825377Z,162,270,59,94,22,UNDETERMINED,1,0, 1,0,0,0,0,1
CAM02,2018-03-31T02:13:54.7585403Z,9,169,100,0,0,UNDETERMINED,0,0, 0,0,0,0,0,0
CAM??,2018-03-31T02:14:14.0887889Z,92,212,71,4,1,UNDETERMINED,1,0, 0,0,0,0,0,0
CAM07,2018-03-31T02:14:16.9481772Z,66,288,15,0,3,UNDETERMINED,0,0, 0,0,0,0,0,0
CAM02,2018-03-31T02:14:14.6669250Z,9,165,100,0,0,UNDETERMINED,0,0, 0,0,0,0,0,0
CAM??,2018-03-31T02:14:14.0887889Z,95,201,72,20,3,UNDETERMINED,1,0, 0,0,0,0,0,0
CAM10,2018-03-31T02:14:14.6825377Z,136,94,8,0,0,UNDETERMINED,0,0, 0,0,0,0,0,0
CAM??,2018-03-31T02:13:55.2741707Z,145,250,58,0,18,UNDETERMINED,1,0, 0,0,0,0,0,0
CAM10,2018-03-31T02:14:14.6825377Z,125,91,8,0,0,UNDETERMINED,0,0, 0,0,0,0,0,0
CAM07,2018-03-31T02:13:55.2741707Z,64,281,15,0,3,UNDETERMINED,0,0, 0,0,0,0,0,0
CAM02,2018-03-31T02:14:14.6669250Z,14,177,99,0,0,UNDETERMINED,0,0, 0,0,0,0,0,0
CAM10,2018-03-31T02:14:15.1825492Z,141,99,7,0,0,UNDETERMINED,0,0, 0,0,0,0,0,0
CAM10,2018-03-31T02:14:14.6669250Z,138,97,7,0,0,UNDETERMINED,0,0, 0,0,0,0,0,0
CAM02,2018-03-31T02:14:14.6825377Z,12,168,99,0,0,UNDETERMINED,0,0, 0,0,0,0,0,0
CAM07,2018-03-31T02:13:55.2741707Z,53,277,15,0,3,UNDETERMINED,0,0, 0,0,0,0,0,0
CAM??,2018-03-31T02:14:14.6825377Z,81,197,75,86,0,UNDETERMINED,1,0, 1,0,0,0,0,1
CAM02,2018-03-31T02:14:14.6669250Z,13,181,100,0,0,UNDETERMINED,0,0, 0,0,0,0,0,0
CAM10,2018-03-31T02:13:55.2741707Z,126,85,8,0,0,UNDETERMINED,0,0, 0,0,0,0,0,0
CAM??,2018-03-31T02:14:15.1825492Z,138,262,58,3,23,UNDETERMINED,1,0, 1,0,0,0,0,1
CAM10,2018-03-31T02:14:14.6669250Z,126,89,8,0,0,UNDETERMINED,0,0, 0,0,0,0,0,0
CAM07,2018-03-31T02:14:14.6825377Z,59,279,15,0,3,UNDETERMINED,0,0, 0,0,0,0,0,0
CAM02,2018-03-31T02:13:55.2741707Z,8,169,100,0,0,UNDETERMINED,0,0, 0,0,0,0,0,0
